t_s,wx_radps,wy_radps,wz_radps,phi_px_rad,phi_nx_rad,phidot_px_radps,phidot_nx_radps,w_px_radps,w_nx_radps,wdot_px_radps2,wdot_nx_radps2,F_px_x_N,F_px_y_N,F_px_z_N,F_nx_x_N,F_nx_y_N,F_nx_z_N,M_net_x_Nm,M_net_y_Nm,M_net_z_Nm,wx_cmd_radps,wy_cmd_radps,wz_cmd_radps,wx_meas_radps,wy_meas_radps,wz_meas_radps,fpx_frac,fnx_frac,phi_px_cmd_rad,phi_nx_cmd_rad,thr_cmd_frac,phi_px_est_rad,phi_nx_est_rad,w_px_est_radps,w_nx_est_radps,phi_px_filt_rad,phi_nx_filt_rad,w_px_filt_radps,w_nx_filt_radps,wx_filt_radps,wy_filt_radps,wz_filt_radps,i_err_x,i_err_y,i_err_z
0.000,-0.010,-0.001,0.016,-0.001,-0.001,-2.951,-2.977,14707.534,-14704.584,2995.766,2896.793,0.000,-0.013,-8.579,0.000,-0.013,-8.576,-0.001,-0.001,0.018,0.000,0.000,0.000,0.002,-0.001,0.001,0.457,0.404,-0.149,-0.150,0.430,0.005,0.008,14706.038,-14706.022,0.005,0.008,14706.038,-14706.022,0.002,-0.001,0.001,-0.000,0.000,-0.000
0.001,-0.030,-0.003,0.037,-0.003,-0.003,-2.734,-2.806,14709.620,-14702.614,4167.471,3933.987,0.000,-0.025,-8.581,0.000,-0.025,-8.574,-0.002,-0.002,0.024,0.013,0.000,0.000,-0.003,-0.001,0.006,0.468,0.394,-0.140,-0.143,0.430,0.005,0.010,14707.533,-14704.577,0.004,0.008,14707.533,-14704.506,0.000,-0.001,0.003,0.000,0.000,-0.000
0.001,-0.047,-0.016,0.049,-0.002,-0.002,1.190,0.831,14710.747,-14701.551,2250.888,2123.864,0.000,-0.019,-8.582,0.000,-0.021,-8.574,-0.002,-0.015,0.013,0.026,0.000,0.000,-0.013,-0.002,0.019,0.451,0.411,0.057,0.039,0.430,-0.014,-0.014,14709.632,-14702.595,-0.003,-0.000,14709.627,-14669.339,-0.005,-0.001,0.009,0.000,0.000,-0.000
0.002,-0.059,-0.037,0.053,-0.001,-0.002,1.642,1.056,14711.077,-14701.229,659.017,643.483,0.000,-0.012,-8.582,0.000,-0.017,-8.573,-0.001,-0.025,0.004,0.039,0.000,0.000,-0.026,-0.007,0.030,0.436,0.424,0.081,0.051,0.431,-0.004,-0.005,14710.740,-14701.544,-0.003,-0.001,14710.750,-14636.988,-0.013,-0.003,0.017,0.000,0.000,-0.000
0.002,-0.063,-0.063,0.054,-0.000,-0.001,2.611,1.901,14711.100,-14701.168,47.082,121.223,0.000,-0.001,-8.582,0.000,-0.009,-8.573,-0.000,-0.030,0.001,0.052,0.000,0.000,-0.038,-0.018,0.039,0.431,0.429,0.130,0.094,0.431,-0.013,-0.012,14711.070,-14701.233,-0.004,-0.003,14711.077,-14608.530,-0.023,-0.009,0.026,0.000,0.000,-0.000
0.003,-0.057,-0.089,0.043,0.001,0.000,3.216,2.527,14709.942,-14702.231,-2314.525,-2122.935,0.000,0.013,-8.581,0.000,0.002,-8.574,0.001,-0.029,-0.012,0.065,0.000,0.000,-0.047,-0.036,0.045,0.409,0.449,0.162,0.127,0.431,-0.010,-0.021,14711.090,-14701.152,-0.004,-0.005,14711.097,-14584.616,-0.032,-0.019,0.033,0.000,0.000,-0.000
0.003,-0.042,-0.111,0.034,0.003,0.001,2.601,1.987,14708.920,-14703.110,-2040.063,-1756.447,0.000,0.024,-8.580,0.000,0.011,-8.575,0.002,-0.026,-0.010,0.079,0.000,0.000,-0.051,-0.056,0.044,0.412,0.446,0.133,0.101,0.431,-0.004,-0.000,14709.940,-14702.221,-0.002,-0.003,14709.938,-14564.749,-0.039,-0.033,0.037,0.000,0.000,-0.000
0.004,-0.023,-0.128,0.018,0.004,0.002,1.593,1.151,14707.240,-14704.619,-3357.122,-3013.137,0.000,0.031,-8.579,0.000,0.016,-8.576,0.002,-0.019,-0.018,0.092,0.000,0.000,-0.048,-0.078,0.040,0.400,0.457,0.083,0.059,0.431,0.012,0.002,14708.938,-14703.135,0.001,-0.002,14708.922,-14549.436,-0.043,-0.051,0.038,0.000,0.000,-0.000
0.004,-0.001,-0.137,0.003,0.004,0.002,1.160,0.925,14705.561,-14706.100,-3352.430,-2958.207,0.000,0.036,-8.577,0.000,0.020,-8.578,0.003,-0.010,-0.017,0.105,0.000,0.000,-0.037,-0.096,0.031,0.400,0.457,0.062,0.049,0.431,0.003,0.001,14707.255,-14704.616,0.001,-0.001,14707.243,-14537.486,-0.041,-0.068,0.035,0.000,0.000,-0.000
0.005,0.022,-0.138,-0.009,0.004,0.002,0.186,0.148,14704.183,-14707.258,-2754.071,-2314.058,0.000,0.037,-8.576,0.000,0.020,-8.579,0.003,-0.002,-0.013,0.118,0.000,0.000,-0.023,-0.112,0.021,0.405,0.451,0.014,0.010,0.432,0.015,0.018,14705.568,-14706.093,0.003,0.001,14705.564,-14528.762,-0.034,-0.085,0.030,0.000,0.000,-0.000
0.005,0.045,-0.134,-0.015,0.004,0.002,-0.125,0.012,14703.407,-14707.806,-1548.311,-1093.884,0.000,0.036,-8.575,0.000,0.020,-8.579,0.003,0.006,-0.006,0.131,0.000,0.000,-0.006,-0.123,0.010,0.416,0.440,-0.002,0.003,0.432,0.003,0.012,14704.194,-14707.265,0.003,0.002,14704.186,-14522.706,-0.023,-0.100,0.022,0.000,0.000,-0.000
0.006,0.067,-0.124,-0.021,0.004,0.002,-0.440,-0.168,14702.645,-14708.342,-1523.166,-1070.284,0.000,0.034,-8.574,0.000,0.020,-8.580,0.003,0.011,-0.006,0.144,0.000,0.000,0.014,-0.127,-0.000,0.416,0.440,-0.018,-0.006,0.432,0.012,0.007,14703.406,-14707.809,0.004,0.003,14703.409,-14518.743,-0.009,-0.110,0.014,0.001,0.000,-0.000
